columns 0,$,(,),:,def,COMMA,{,},if,then,else,while,for,print,=,input,int,float,str,",in,notin,id,num,==,<,>,<=,>=,+,*,-,%,/,and,or,!=
PROG,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PROG_,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DEC,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
COL,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KEY,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VARDEC,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VARDECNE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VARDECNE_,-,-,11,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BLOCK,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENE,-,13,-,-,-,-,-,14,13,-,-,13,13,13,-,-,13,13,13,-,-,-,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-
EXP,-,15,-,-,-,-,-,-,17,-,-,18,19,20,-,-,21,21,21,-,-,-,22,16,-,-,-,-,-,-,-,-,-,-,-,-,-
E1,-,24,23,23,-,23,-,23,-,23,-,-,-,-,25,-,-,-,-,-,-,-,-,-,23,23,23,23,23,23,23,23,23,23,23,23,23
E2,-,26,-,-,-,-,-,-,26,-,-,26,26,26,-,-,26,26,26,-,-,-,26,26,-,-,-,-,-,-,-,-,-,-,-,-,-
EP2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KEYWORD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,29,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QUOTES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
STRING,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
STRING_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARGS,-,35,36,-,-,-,-,-,35,-,-,35,35,35,-,-,35,35,35,-,-,-,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-
ARGSNE,-,37,-,-,-,-,-,-,37,-,-,37,37,37,-,-,37,37,37,-,-,-,37,37,-,-,-,-,-,-,-,-,-,-,-,-,-
ARGSNE_,-,-,39,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OPLIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IDFR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INTLIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,-,-,-,-,-,-,-
BINOP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,45,46,47,48,49,50,51,52,53,54,55,56
